지점명,날짜,평균기온,최고기온,최저기온,강수량,평균풍속,평균습도
서울,2024-01-01,3.3,7.3,-0.3,0.0,1.7,83.4
서울,2024-01-02,2.9,4.3,2.2,0.0,1.6,72.6
서울,2024-01-03,1.8,4.0,-1.1,0.6,1.6,80.4
서울,2024-01-04,1.4,4.7,-3.3,,1.9,74.3
서울,2024-01-05,5.0,9.1,1.4,0.0,2.3,77.1
서울,2024-01-06,0.7,5.2,-2.7,2.4,2.2,63.9
서울,2024-01-07,-4.4,-0.9,-8.3,,3.1,57.4
서울,2024-01-08,-4.7,0.0,-10.3,,1.8,57.8
서울,2024-01-09,-0.6,0.4,-1.9,1.6,2.0,84.0
서울,2024-01-10,-1.0,3.3,-4.1,,1.7,85.9
서울,2024-01-11,1.7,4.5,-2.4,,1.9,80.6
서울,2024-01-12,0.9,4.2,-1.4,,2.3,61.6
서울,2024-01-13,0.4,6.4,-3.8,,1.4,44.3
서울,2024-01-14,-0.6,2.4,-3.3,3.1,2.1,74.5
서울,2024-01-15,-3.7,0.9,-6.9,,2.5,51.3
서울,2024-01-16,-2.1,4.3,-7.2,,1.5,49.8
서울,2024-01-17,0.6,1.9,-2.3,9.7,2.0,78.5
서울,2024-01-18,4.5,9.4,1.4,0.5,2.4,81.5
서울,2024-01-19,5.4,9.0,4.0,,4.5,65.4
서울,2024-01-20,3.4,4.9,1.9,0.4,5.3,69.5
서울,2024-01-21,1.7,4.3,-2.4,0.4,2.5,75.8
서울,2024-01-22,-8.7,-2.4,-11.9,0.2,4.1,65.6
서울,2024-01-23,-11.7,-8.2,-14.0,,3.9,53.6
서울,2024-01-24,-8.0,-3.7,-11.2,,3.3,52.0
서울,2024-01-25,-5.3,-0.5,-9.7,,2.1,47.8
서울,2024-01-26,-1.7,4.0,-6.9,,1.9,62.5
서울,2024-01-27,-0.5,4.6,-4.6,,1.8,70.0
서울,2024-01-28,-1.5,3.8,-5.0,,1.9,62.3
서울,2024-01-29,-0.4,4.6,-4.8,,1.7,66.6
서울,2024-01-30,1.4,8.1,-4.0,,1.4,59.3
서울,2024-01-31,4.7,10.6,0.7,,1.9,54.1
서울,2024-02-01,2.4,8.2,-1.3,,2.1,64.9
서울,2024-02-02,3.1,7.9,0.7,,2.1,65.5
서울,2024-02-03,4.7,8.3,-0.2,0.0,2.2,63.9
서울,2024-02-04,7.3,12.2,3.7,,1.8,60.9
서울,2024-02-05,2.7,6.6,0.1,3.9,5.0,81.8
서울,2024-02-06,1.2,2.9,0.0,0.2,2.2,83.5
서울,2024-02-07,0.6,2.7,-0.9,0.0,2.1,76.6
서울,2024-02-08,0.6,6.2,-3.0,,1.6,66.9
서울,2024-02-09,1.1,6.1,-2.5,,2.2,66.8
서울,2024-02-10,1.7,7.4,-1.5,,1.9,69.4
서울,2024-02-11,1.0,5.5,-3.1,0.0,2.2,70.6
서울,2024-02-12,3.5,10.5,-2.9,,1.8,62.8
서울,2024-02-13,8.2,13.7,2.0,,2.5,70.6
서울,2024-02-14,12.9,18.3,8.8,,2.2,76.4
서울,2024-02-15,4.5,11.6,0.6,10.9,2.9,89.9
서울,2024-02-16,2.3,8.1,-1.5,,1.8,72.4
서울,2024-02-17,4.4,11.7,-1.2,,1.7,73.5
서울,2024-02-18,6.2,9.4,1.2,17.1,2.8,81.4
서울,2024-02-19,9.1,11.9,4.2,8.9,2.3,95.8
서울,2024-02-20,4.3,6.8,2.8,2.6,3.4,86.3
서울,2024-02-21,1.9,4.0,0.0,17.8,5.2,92.5
서울,2024-02-22,0.2,1.6,-1.1,8.8,4.2,84.5
서울,2024-02-23,1.8,6.1,-1.0,0.4,3.5,68.8
서울,2024-02-24,2.0,5.9,-1.3,2.3,2.9,68.6
서울,2024-02-25,2.8,5.9,0.8,1.8,2.0,80.8
서울,2024-02-26,3.8,9.7,-1.2,,1.9,65.3
서울,2024-02-27,5.3,9.8,1.2,,3.0,52.0
서울,2024-02-28,6.4,10.1,3.2,,2.1,59.5
서울,2024-02-29,4.8,9.6,0.3,,2.2,63.6
서울,2024-03-01,-4.1,0.3,-7.1,,4.4,38.9
서울,2024-03-02,-0.5,4.1,-8.1,0.0,3.2,60.4
서울,2024-03-03,4.0,7.8,0.4,,2.9,71.5
서울,2024-03-04,5.4,11.7,-1.8,,1.6,45.5
서울,2024-03-05,8.0,11.0,5.5,,2.9,45.1
서울,2024-03-06,6.2,10.3,2.5,,2.8,58.8
서울,2024-03-07,3.9,8.2,1.2,2.1,3.0,62.4
서울,2024-03-08,2.1,6.5,-0.7,,3.4,50.6
서울,2024-03-09,2.0,7.1,-2.1,,2.7,50.8
서울,2024-03-10,4.2,10.6,-1.8,,2.1,54.0
서울,2024-03-11,6.2,10.8,2.0,,,62.3
서울,2024-03-12,6.6,10.0,4.4,2.1,,78.0
서울,2024-03-13,6.5,12.0,1.3,,2.7,57.6
서울,2024-03-14,8.5,15.4,3.4,,,58.3
서울,2024-03-15,8.9,14.5,4.0,,2.3,68.5
서울,2024-03-16,10.9,18.3,4.4,,2.1,54.5
서울,2024-03-17,8.8,12.2,5.4,0.1,3.7,48.0
서울,2024-03-18,7.1,13.2,1.4,,2.4,28.6
서울,2024-03-19,6.7,9.8,3.9,0.2,3.7,60.8
서울,2024-03-20,4.4,8.7,1.2,,3.4,46.5
서울,2024-03-21,5.0,11.5,-1.2,,2.0,46.5
서울,2024-03-22,10.4,15.2,3.8,5.4,3.4,57.0
서울,2024-03-23,13.0,18.2,9.3,0.1,2.3,66.0
서울,2024-03-24,16.2,23.4,10.5,,2.4,42.5
서울,2024-03-25,10.6,14.5,6.7,5.1,4.0,63.0
서울,2024-03-26,7.4,12.4,3.2,11.5,2.6,77.3
서울,2024-03-27,10.4,16.2,4.4,,2.0,68.4
서울,2024-03-28,10.3,12.2,7.8,1.9,1.8,81.8
서울,2024-03-29,7.6,12.3,5.0,1.4,2.8,73.0
서울,2024-03-30,8.8,15.6,3.0,,2.4,56.5
서울,2024-03-31,10.6,17.7,3.4,,1.9,39.9
서울,2024-04-01,12.2,19.0,5.5,,1.8,32.0
서울,2024-04-02,15.4,23.9,7.0,,2.0,37.5
서울,2024-04-03,16.6,19.7,13.9,0.0,1.8,55.9
서울,2024-04-04,15.5,20.3,12.4,,2.9,52.1
서울,2024-04-05,14.0,18.8,10.2,,2.5,51.3
서울,2024-04-06,12.7,18.9,8.0,,1.9,48.6
서울,2024-04-07,14.8,23.4,7.7,,2.0,33.4
서울,2024-04-08,16.2,22.8,11.0,,2.1,46.5
서울,2024-04-09,15.3,20.8,10.6,,3.5,32.4
서울,2024-04-10,13.8,18.5,10.2,,2.6,62.6
서울,2024-04-11,15.5,21.1,11.7,0.0,1.8,61.0
서울,2024-04-12,17.2,24.2,12.0,,2.1,59.6
서울,2024-04-13,19.1,27.3,11.2,,1.9,52.4
서울,2024-04-14,20.8,29.4,13.6,,1.9,47.1
서울,2024-04-15,16.0,20.0,11.7,17.1,2.5,77.4
서울,2024-04-16,13.3,17.9,11.5,2.3,2.5,82.6
서울,2024-04-17,15.0,21.8,9.7,,2.2,65.3
서울,2024-04-18,17.3,24.9,10.7,,2.2,53.3
서울,2024-04-19,17.6,24.3,11.5,,2.1,51.8
서울,2024-04-20,14.9,17.2,13.0,4.8,3.0,77.3
서울,2024-04-21,17.2,21.7,13.3,,3.8,65.5
서울,2024-04-22,18.8,24.1,15.0,,3.1,49.4
서울,2024-04-23,17.3,24.2,13.2,0.0,3.6,55.0
서울,2024-04-24,13.2,16.5,11.0,9.0,3.0,80.1
서울,2024-04-25,14.4,20.8,10.3,,1.9,75.6
