법정구역코드,시도,시군구,읍면동,리,FullAddress,하수처리시설명,하수처리_시설코드,분뇨처리시설명,분뇨처리_시설코드,지정내역,인구 총계(명),시가 인구(명)_하수처리지역(분류식),시가 인구(명)_하수처리지역(합류식),시가 인구(명)_하수미처리지역(오수),시가 인구(명)_하수미처리지역(정화조),시가 인구(명)_하수미처리지역(수거식),비시가 인구(명)_하수처리지역(분류식),비시가 인구(명)_하수처리지역(합류식),비시가 인구(명)_하수미처리지역(오수),비시가 인구(명)_하수미처리지역(정화조),비시가 인구(명)_하수미처리지역(수거식)
2614010400,부산광역시,서구,서대신동1가,,부산광역시 서구 서대신동1가 ,부산중앙하수처리장,261400W01,부산위생처리장,265300F01,일반지역,5668,1500,4055,0,0,0,30,83,0,0,0
2614011400,부산광역시,서구,토성동3가,,부산광역시 서구 토성동3가 ,부산중앙하수처리장,261400W01,부산위생처리장,265300F01,일반지역,690,186,504,0,0,0,0,0,0,0,0
2620011400,부산광역시,영도구,신선동3가,,부산광역시 영도구 신선동3가 ,영도하수종말처리시설,262000W01,부산위생처리장,265300F01,일반지역,1990,443,1328,0,0,0,55,164,0,0,0
2671025021,부산광역시,기장군,기장읍,동부리,부산광역시 기장군 기장읍 동부리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,8029,5073,1190,0,0,0,1430,336,0,0,0
2671025023,부산광역시,기장군,기장읍,신천리,부산광역시 기장군 기장읍 신천리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,115,38,9,0,0,0,55,13,0,0,0
2671025024,부산광역시,기장군,기장읍,죽성리,부산광역시 기장군 기장읍 죽성리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,1409,297,69,0,0,0,844,199,0,0,0
2671025025,부산광역시,기장군,기장읍,서부리,부산광역시 기장군 기장읍 서부리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,3139,1754,412,0,0,0,789,184,0,0,0
2671025026,부산광역시,기장군,기장읍,대라리,부산광역시 기장군 기장읍 대라리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,14021,9881,2317,0,0,0,1476,347,0,0,0
2671025027,부산광역시,기장군,기장읍,청강리,부산광역시 기장군 기장읍 청강리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,8241,3271,767,0,0,0,3404,799,0,0,0
2671025028,부산광역시,기장군,기장읍,대변리,부산광역시 기장군 기장읍 대변리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,1440,334,818,0,0,0,84,204,0,0,0
2671025031,부산광역시,기장군,기장읍,석산리,부산광역시 기장군 기장읍 석산리,,,부산위생처리장,265300F01,일반지역,135,0,0,35,5,0,0,0,84,11,0
2671025032,부산광역시,기장군,기장읍,당사리,부산광역시 기장군 기장읍 당사리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,183,165,0,0,0,0,18,0,0,0,0
2671025033,부산광역시,기장군,기장읍,시랑리,부산광역시 기장군 기장읍 시랑리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,732,490,0,0,0,0,242,0,0,0,0
2671025321,부산광역시,기장군,장안읍,좌천리,부산광역시 기장군 장안읍 좌천리,,,부산위생처리장,265300F01,일반지역,1689,0,0,177,27,675,0,0,163,24,623
2671025322,부산광역시,기장군,장안읍,효암리,부산광역시 기장군 장안읍 효암리,,,부산위생처리장,265300F01,일반지역,0,0,0,0,0,0,0,0,0,0,0
2671025323,부산광역시,기장군,장안읍,고리,부산광역시 기장군 장안읍 고리,,,부산위생처리장,265300F01,일반지역,0,0,0,0,0,0,0,0,0,0,0
2671025324,부산광역시,기장군,장안읍,좌동리,부산광역시 기장군 장안읍 좌동리,,,부산위생처리장,265300F01,일반지역,212,0,0,7,13,47,0,0,14,28,103
2671025325,부산광역시,기장군,장안읍,장안리,부산광역시 기장군 장안읍 장안리,상장안마을하수도,267100V03,부산위생처리장,265300F01,일반지역,320,150,0,0,0,0,170,0,0,0,0
2671025326,부산광역시,기장군,장안읍,덕선리,부산광역시 기장군 장안읍 덕선리,,,부산위생처리장,265300F01,일반지역,237,0,0,22,8,8,0,0,114,44,41
2671025327,부산광역시,기장군,장안읍,용소리,부산광역시 기장군 장안읍 용소리,,,부산위생처리장,265300F01,일반지역,206,0,0,14,7,3,0,0,104,55,23
2671025328,부산광역시,기장군,장안읍,기룡리,부산광역시 기장군 장안읍 기룡리,하근마을하수도,267100V05,부산위생처리장,265300F01,일반지역,158,77,0,0,0,0,81,0,0,0,0
2671025328,부산광역시,기장군,장안읍,기룡리,부산광역시 기장군 장안읍 기룡리,기장기룡마을하수도,267100V09,부산위생처리장,265300F01,일반지역,204,100,0,0,0,0,104,0,0,0,0
2671025329,부산광역시,기장군,장안읍,명례리,부산광역시 기장군 장안읍 명례리,기장도야공공하수도,267100V20,부산위생처리장,265300F01,일반지역,572,498,0,0,0,0,74,0,0,0,0
2671025330,부산광역시,기장군,장안읍,월내리,부산광역시 기장군 장안읍 월내리,,,부산위생처리장,265300F01,일반지역,1178,0,0,124,71,735,0,0,33,19,196
2671025331,부산광역시,기장군,장안읍,반룡리,부산광역시 기장군 장안읍 반룡리,장안일반산업단지폐수종말처리장,267100I02,부산위생처리장,265300F01,일반지역,523,301,0,45,41,68,45,0,7,6,10
2671025332,부산광역시,기장군,장안읍,임랑리,부산광역시 기장군 장안읍 임랑리,,,부산위생처리장,265300F01,일반지역,479,0,0,48,16,252,0,0,25,8,130
2671025333,부산광역시,기장군,장안읍,오리,부산광역시 기장군 장안읍 오리,대룡마을하수처리시설,267100V24,부산위생처리장,265300F01,일반지역,543,380,0,0,0,0,163,0,0,0,0
2671025334,부산광역시,기장군,장안읍,길천리,부산광역시 기장군 장안읍 길천리,,,부산위생처리장,265300F01,일반지역,3090,0,0,314,38,1595,0,0,184,22,937
2671025621,부산광역시,기장군,정관읍,방곡리,부산광역시 기장군 정관읍 방곡리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,7362,5242,1310,0,0,0,648,162,0,0,0
2671025622,부산광역시,기장군,정관읍,매학리,부산광역시 기장군 정관읍 매학리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,6256,4254,1064,0,0,0,751,187,0,0,0
2671025623,부산광역시,기장군,정관읍,임곡리,부산광역시 기장군 정관읍 임곡리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,248,119,0,0,0,0,129,0,0,0,0
2671025624,부산광역시,기장군,정관읍,월평리,부산광역시 기장군 정관읍 월평리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,346,163,0,0,0,0,183,0,0,0,0
2671025625,부산광역시,기장군,정관읍,달산리,부산광역시 기장군 정관읍 달산리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,11973,7759,1939,0,0,0,1819,456,0,0,0
2671025626,부산광역시,기장군,정관읍,병산리,부산광역시 기장군 정관읍 병산리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,129,0,0,0,0,0,103,26,0,0,0
2671025627,부산광역시,기장군,정관읍,모전리,부산광역시 기장군 정관읍 모전리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,28984,20405,5101,0,0,0,2782,696,0,0,0
2671025628,부산광역시,기장군,정관읍,용수리,부산광역시 기장군 정관읍 용수리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,25405,15853,3963,0,0,0,4471,1118,0,0,0
2671025629,부산광역시,기장군,정관읍,두명리,부산광역시 기장군 정관읍 두명리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,150,15,0,0,0,0,135,0,0,0,0
2671025630,부산광역시,기장군,정관읍,예림리,부산광역시 기장군 정관읍 예림리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,일반지역,566,217,55,0,0,0,236,58,0,0,0
2671025921,부산광역시,기장군,일광읍,삼성리,부산광역시 기장군 일광읍 삼성리,일광하수처리시설,267100W04,부산위생처리장,265300F01,일반지역,20942,16125,0,0,0,0,4817,0,0,0,0
2671025922,부산광역시,기장군,일광읍,이천리,부산광역시 기장군 일광읍 이천리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,5247,1168,477,402,52,0,1752,716,603,77,0
2671025923,부산광역시,기장군,일광읍,학리,부산광역시 기장군 일광읍 학리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,436,71,29,0,0,0,239,97,0,0,0
2671025924,부산광역시,기장군,일광읍,동백리,부산광역시 기장군 일광읍 동백리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,456,55,0,0,0,0,401,0,0,0,0
2671025925,부산광역시,기장군,일광읍,문중리,부산광역시 기장군 일광읍 문중리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,318,140,0,0,0,0,178,0,0,0,0
2671025926,부산광역시,기장군,일광읍,신평리,부산광역시 기장군 일광읍 신평리,문오성면단위하수종말처리장,267100W03,부산위생처리장,265300F01,일반지역,301,181,0,0,0,0,120,0,0,0,0
2671025927,부산광역시,기장군,일광읍,칠암리,부산광역시 기장군 일광읍 칠암리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,482,463,0,0,0,0,19,0,0,0,0
2671025928,부산광역시,기장군,일광읍,문동리,부산광역시 기장군 일광읍 문동리,기장하수종말처리장,267100W01,부산위생처리장,265300F01,일반지역,276,179,0,0,0,0,97,0,0,0,0
2671025929,부산광역시,기장군,일광읍,청광리,부산광역시 기장군 일광읍 청광리,기장청광마을하수도,267100V11,부산위생처리장,265300F01,일반지역,80,2,0,0,0,0,78,0,0,0,0
2671025930,부산광역시,기장군,일광읍,원리,부산광역시 기장군 일광읍 원리,기장하리마을하수도,267100V06,부산위생처리장,265300F01,일반지역,265,74,0,0,0,0,191,0,0,0,0
2671025930,부산광역시,기장군,일광읍,원리,부산광역시 기장군 일광읍 원리,기장광산마을하수도,267100V10,부산위생처리장,265300F01,일반지역,227,64,0,0,0,0,163,0,0,0,0
2671025931,부산광역시,기장군,일광읍,화전리,부산광역시 기장군 일광읍 화전리,기장당곡마을하수도,267100V12,부산위생처리장,265300F01,일반지역,150,24,0,0,0,0,126,0,0,0,0
2671025931,부산광역시,기장군,일광읍,화전리,부산광역시 기장군 일광읍 화전리,기장화전공공하수도,267100V21,부산위생처리장,265300F01,일반지역,210,34,0,0,0,0,176,0,0,0,0
2671025932,부산광역시,기장군,일광읍,횡계리,부산광역시 기장군 일광읍 횡계리,,,부산위생처리장,265300F01,일반지역,125,0,0,18,4,13,0,0,47,11,32
2671025933,부산광역시,기장군,일광읍,용천리,부산광역시 기장군 일광읍 용천리,산수곡공공하수도,267100V23,부산위생처리장,265300F01,일반지역,326,114,0,0,0,0,212,0,0,0,0
2671033021,부산광역시,기장군,철마면,와여리,부산광역시 기장군 철마면 와여리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,265,109,0,0,0,0,156,0,0,0,0
2671033022,부산광역시,기장군,철마면,장전리,부산광역시 기장군 철마면 장전리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,339,78,0,0,0,0,261,0,0,0,0
2671033023,부산광역시,기장군,철마면,백길리,부산광역시 기장군 철마면 백길리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,89,21,0,0,0,0,68,0,0,0,0
2671033024,부산광역시,기장군,철마면,송정리,부산광역시 기장군 철마면 송정리,수영하수종말처리장,262600W01,부산위생처리장,265300F01,특정지역,574,178,0,0,0,0,396,0,0,0,0
2671033025,부산광역시,기장군,철마면,웅천리,부산광역시 기장군 철마면 웅천리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,448,125,0,0,0,0,323,0,0,0,0
2671033026,부산광역시,기장군,철마면,연구리,부산광역시 기장군 철마면 연구리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,251,93,0,0,0,0,158,0,0,0,0
2671033027,부산광역시,기장군,철마면,구칠리,부산광역시 기장군 철마면 구칠리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,292,67,0,0,0,0,225,0,0,0,0
2671033028,부산광역시,기장군,철마면,이곡리,부산광역시 기장군 철마면 이곡리,부산환경공단 정관하수처리장,267100W02,부산위생처리장,265300F01,특정지역,157,85,0,0,0,0,72,0,0,0,0
2671033029,부산광역시,기장군,철마면,고촌리,부산광역시 기장군 철마면 고촌리,동부하수처리장,263500W02,부산위생처리장,265300F01,일반지역,4544,1581,1645,0,0,0,646,672,0,0,0
2671033030,부산광역시,기장군,철마면,안평리,부산광역시 기장군 철마면 안평리,동부하수처리장,263500W02,부산위생처리장,265300F01,일반지역,293,33,34,0,0,0,111,115,0,0,0
2671033031,부산광역시,기장군,철마면,임기리,부산광역시 기장군 철마면 임기리,수영하수종말처리장,262600W01,부산위생처리장,265300F01,특정지역,473,123,0,0,0,0,350,0,0,0,0
2729012300,대구광역시,달서구,대곡동,,대구광역시 달서구 대곡동 ,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,20741,7566,12345,0,0,0,316,514,0,0,0
2771025021,대구광역시,달성군,화원읍,천내리,대구광역시 달성군 화원읍 천내리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,14139,12442,0,0,0,0,1697,0,0,0,0
2771025023,대구광역시,달성군,화원읍,성산리,대구광역시 달성군 화원읍 성산리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,4248,3016,0,0,0,0,1232,0,0,0,0
2771025025,대구광역시,달성군,화원읍,명곡리,대구광역시 달성군 화원읍 명곡리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,10838,8779,0,0,0,0,2059,0,0,0,0
2771025026,대구광역시,달성군,화원읍,본리리,대구광역시 달성군 화원읍 본리리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,6341,4375,0,0,0,0,1966,0,0,0,0
2771025323,대구광역시,달성군,논공읍,삼리리,대구광역시 달성군 논공읍 삼리리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,456,194,0,4,12,0,228,0,5,13,0
2771025324,대구광역시,달성군,논공읍,위천리,대구광역시 달성군 논공읍 위천리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,228,187,0,12,15,0,12,0,1,1,0
2771025325,대구광역시,달성군,논공읍,상리,대구광역시 달성군 논공읍 상리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,318,159,0,97,33,0,16,0,10,3,0
2771025326,대구광역시,달성군,논공읍,하리,대구광역시 달성군 논공읍 하리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,167,78,0,4,7,0,69,0,3,6,0
2771025327,대구광역시,달성군,논공읍,남리,대구광역시 달성군 논공읍 남리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,5956,3633,0,0,0,0,2323,0,0,0,0
2771025328,대구광역시,달성군,논공읍,북리,대구광역시 달성군 논공읍 북리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,7715,7252,0,0,0,0,463,0,0,0,0
2771025329,대구광역시,달성군,논공읍,본리리,대구광역시 달성군 논공읍 본리리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,459,118,0,0,268,0,22,0,0,51,0
2771025621,대구광역시,달성군,다사읍,이천리,대구광역시 달성군 다사읍 이천리,다사이천마을하수도,277100V05,서부분뇨처리장,272900F01,일반지역,144,59,0,0,0,0,85,0,0,0,0
2771025622,대구광역시,달성군,다사읍,달천리,대구광역시 달성군 다사읍 달천리,다사달천마을하수도,277100V04,서부분뇨처리장,272900F01,일반지역,130,88,0,0,0,0,42,0,0,0,0
2771025623,대구광역시,달성군,다사읍,박곡리,대구광역시 달성군 다사읍 박곡리,다사박곡마을하수도,277100V03,서부분뇨처리장,272900F01,일반지역,163,70,0,0,0,0,93,0,0,0,0
2771025626,대구광역시,달성군,다사읍,세천리,대구광역시 달성군 다사읍 세천리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,14191,13142,0,102,663,284,0,0,0,0,0
2771025627,대구광역시,달성군,다사읍,죽곡리,대구광역시 달성군 다사읍 죽곡리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,19741,18162,0,0,0,0,1579,0,0,0,0
2771025628,대구광역시,달성군,다사읍,매곡리,대구광역시 달성군 다사읍 매곡리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,32416,25850,0,306,2694,0,3195,0,38,333,0
2771025631,대구광역시,달성군,다사읍,문산리,대구광역시 달성군 다사읍 문산리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,207,63,0,8,35,0,60,0,7,34,0
2771025921,대구광역시,달성군,유가읍,음리,대구광역시 달성군 유가읍 음리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,181,81,0,0,8,0,84,0,0,8,0
2771025922,대구광역시,달성군,유가읍,양리,대구광역시 달성군 유가읍 양리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,160,0,0,0,0,0,68,0,0,92,0
2771025924,대구광역시,달성군,유가읍,봉리,대구광역시 달성군 유가읍 봉리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,25838,25838,0,0,0,0,0,0,0,0,0
2771025925,대구광역시,달성군,유가읍,쌍계리,대구광역시 달성군 유가읍 쌍계리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,2724,792,0,185,58,0,1291,0,303,95,0
2771025926,대구광역시,달성군,유가읍,초곡리,대구광역시 달성군 유가읍 초곡리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,116,0,0,0,0,0,83,0,0,33,0
2771025927,대구광역시,달성군,유가읍,상리,대구광역시 달성군 유가읍 상리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,324,45,0,24,164,0,17,0,10,64,0
2771025928,대구광역시,달성군,유가읍,금리,대구광역시 달성군 유가읍 금리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,318,202,0,15,101,0,0,0,0,0,0
2771025929,대구광역시,달성군,유가읍,유곡리,대구광역시 달성군 유가읍 유곡리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,414,279,0,0,40,0,83,0,0,12,0
2771025930,대구광역시,달성군,유가읍,도의리,대구광역시 달성군 유가읍 도의리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,205,0,0,0,0,0,205,0,0,0,0
2771025932,대구광역시,달성군,유가읍,한정리,대구광역시 달성군 유가읍 한정리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,278,0,0,0,0,0,224,0,0,54,0
2771025933,대구광역시,달성군,유가읍,본말리,대구광역시 달성군 유가읍 본말리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,123,0,0,0,0,0,117,0,2,4,0
2771026221,대구광역시,달성군,옥포읍,신당리,대구광역시 달성군 옥포읍 신당리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,400,200,0,0,0,0,200,0,0,0,0
2771026222,대구광역시,달성군,옥포읍,교항리,대구광역시 달성군 옥포읍 교항리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,9705,6794,0,0,0,0,2911,0,0,0,0
2771026223,대구광역시,달성군,옥포읍,강림리,대구광역시 달성군 옥포읍 강림리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,6533,3473,0,0,914,1166,613,0,0,161,206
2771026224,대구광역시,달성군,옥포읍,송촌리,대구광역시 달성군 옥포읍 송촌리,,,서부분뇨처리장,272900F01,일반지역,69,0,0,0,6,0,0,0,0,63,0
2771026225,대구광역시,달성군,옥포읍,간경리,대구광역시 달성군 옥포읍 간경리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,562,309,0,0,0,0,253,0,0,0,0
2771026226,대구광역시,달성군,옥포읍,기세리,대구광역시 달성군 옥포읍 기세리,옥포기세마을하수도,277100V08,서부분뇨처리장,272900F01,일반지역,385,59,0,65,0,0,124,0,137,0,0
